rule_type,feature_1,threshold_1,feature_2,threshold_2,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp
single,n_t21_ge_325,13,,,0.644581164221486,0.79463243873979,0.71178468774497,0.7025548085815132,1177,751,352,1362
single,n_t21_ge_325,14,,,0.6480769230769231,0.7864644107351225,0.7105956773853452,0.7033981804712957,1196,732,366,1348
single,n_t21_ge_325,12,,,0.64058106841612,0.7975495915985997,0.7104989604989606,0.699864007417557,1161,767,347,1367
single,n_t21_ge_325,11,,,0.6310063463281959,0.8121353558926487,0.710204081632653,0.6949680928840837,1114,814,322,1392
and,n_conf_ge_60,1,n_t21_ge_325,13.0,0.6437381404174574,0.7917152858809802,0.7100994243851386,0.7010962321521084,1177,751,357,1357
and,n_conf_ge_60,2,n_t21_ge_325,13.0,0.6437381404174574,0.7917152858809802,0.7100994243851386,0.7010962321521084,1177,751,357,1357
and,n_conf_ge_60,3,n_t21_ge_325,13.0,0.6437381404174574,0.7917152858809802,0.7100994243851386,0.7010962321521084,1177,751,357,1357
single,n_t21_ge_325,9,,,0.6192959582790091,0.8313885647607935,0.709838107098381,0.6885158591438822,1052,876,289,1425
and,n_conf_ge_60,7,n_t21_ge_325,13.0,0.6437054631828979,0.7905484247374562,0.7096098455092956,0.7007721376799314,1178,750,359,1355
and,n_conf_ge_60,4,n_t21_ge_325,13.0,0.6433998100664767,0.7905484247374562,0.7094240837696335,0.7005128015803463,1177,751,359,1355
and,n_conf_ge_60,5,n_t21_ge_325,13.0,0.6433998100664767,0.7905484247374562,0.7094240837696335,0.7005128015803463,1177,751,359,1355
and,n_conf_ge_60,6,n_t21_ge_325,13.0,0.6433998100664767,0.7905484247374562,0.7094240837696335,0.7005128015803463,1177,751,359,1355
and,n_conf_ge_60,7,n_t21_ge_325,14.0,0.6477108433734939,0.7841306884480747,0.7094220110847189,0.7024906554273569,1197,731,370,1344
single,n_t21_ge_325,10,,,0.6215978928884986,0.8261376896149358,0.7094188376753507,0.6895211269651442,1066,862,298,1416
single,n_t21_ge_325,6,,,0.6061232933388498,0.8547257876312718,0.7092713628661341,0.6804749270106567,976,952,249,1465
single,n_t21_ge_325,8,,,0.6161790017211703,0.8354725787631272,0.7092620108964834,0.6864084885516881,1036,892,282,1432
and,n_conf_ge_60,1,n_t21_ge_325,14.0,0.6473988439306358,0.7841306884480747,0.7092348284960422,0.7022313193277718,1196,732,370,1344
and,n_conf_ge_60,2,n_t21_ge_325,14.0,0.6473988439306358,0.7841306884480747,0.7092348284960422,0.7022313193277718,1196,732,370,1344
and,n_conf_ge_60,3,n_t21_ge_325,14.0,0.6473988439306358,0.7841306884480747,0.7092348284960422,0.7022313193277718,1196,732,370,1344
and,n_conf_ge_60,4,n_t21_ge_325,14.0,0.6473988439306358,0.7841306884480747,0.7092348284960422,0.7022313193277718,1196,732,370,1344
and,n_conf_ge_60,5,n_t21_ge_325,14.0,0.6473988439306358,0.7841306884480747,0.7092348284960422,0.7022313193277718,1196,732,370,1344
and,n_conf_ge_60,6,n_t21_ge_325,14.0,0.6473988439306358,0.7841306884480747,0.7092348284960422,0.7022313193277718,1196,732,370,1344
single,n_t21_ge_325,5,,,0.6044407894736842,0.8576429404900817,0.7091172214182344,0.6793401424442109,966,962,244,1470
and,n_conf_ge_60,8,n_t21_ge_325,14.0,0.6479961371318204,0.7829638273045507,0.709114927344782,0.702425897054765,1199,729,372,1342
and,n_conf_ge_60,9,n_t21_ge_325,14.0,0.6479961371318204,0.7829638273045507,0.709114927344782,0.702425897054765,1199,729,372,1342
single,n_t21_ge_325,3,,,0.6026949775418539,0.8611435239206534,0.7091040115301466,0.6782377370640611,955,973,238,1476
and,n_conf_ge_60,8,n_t21_ge_325,13.0,0.6438095238095238,0.7887981330221704,0.7089669638175145,0.7004156640214587,1180,748,362,1352
and,n_conf_ge_60,9,n_t21_ge_325,13.0,0.6438095238095238,0.7887981330221704,0.7089669638175145,0.7004156640214587,1180,748,362,1352
single,n_t21_ge_325,4,,,0.6027789129546384,0.8605600933488915,0.7089641913001682,0.6782053578777653,956,972,239,1475
and,n_conf_ge_60,1,n_t21_ge_325,12.0,0.6397369657116017,0.79463243873979,0.7088212334113974,0.6984054309881522,1161,767,352,1362
and,n_conf_ge_60,2,n_t21_ge_325,12.0,0.6397369657116017,0.79463243873979,0.7088212334113974,0.6984054309881522,1161,767,352,1362
and,n_conf_ge_60,3,n_t21_ge_325,12.0,0.6397369657116017,0.79463243873979,0.7088212334113974,0.6984054309881522,1161,767,352,1362
single,n_t21_ge_325,15,,,0.6547972304648862,0.7724620770128354,0.708779443254818,0.7052144409960442,1230,698,390,1324
single,n_t21_ge_325,16,,,0.6606152294503278,0.764294049008168,0.7086827157154449,0.7076138294833372,1255,673,404,1310
single,n_t21_ge_325,1,,,0.6016293279022403,0.8617269544924154,0.708563204605421,0.6772327718520168,950,978,237,1477
single,n_t21_ge_325,2,,,0.6017121891561353,0.8611435239206534,0.7084233261339092,0.6772003926657209,951,977,238,1476
and,n_conf_ge_60,7,n_t21_ge_325,12.0,0.6396989651928504,0.793465577596266,0.7083333333333334,0.6980813365159753,1162,766,354,1360
and,n_conf_ge_60,1,n_t21_ge_325,11.0,0.63,0.808634772462077,0.7082268778742974,0.6932178011687978,1114,814,328,1386
and,n_conf_ge_60,2,n_t21_ge_325,11.0,0.63,0.808634772462077,0.7082268778742974,0.6932178011687978,1114,814,328,1386
and,n_conf_ge_60,3,n_t21_ge_325,11.0,0.63,0.808634772462077,0.7082268778742974,0.6932178011687978,1114,814,328,1386
single,n_t21_ge_325,7,,,0.6075156576200418,0.8488914819136523,0.7082015088829399,0.6806698073468676,988,940,259,1455
and,n_conf_ge_60,4,n_t21_ge_325,12.0,0.6393982134461683,0.793465577596266,0.7081489195521999,0.6978220004163902,1161,767,354,1360
and,n_conf_ge_60,5,n_t21_ge_325,12.0,0.6393982134461683,0.793465577596266,0.7081489195521999,0.6978220004163902,1161,767,354,1360
and,n_conf_ge_60,6,n_t21_ge_325,12.0,0.6393982134461683,0.793465577596266,0.7081489195521999,0.6978220004163902,1161,767,354,1360
and,n_conf_ge_60,10,n_t21_ge_325,14.0,0.6474854932301741,0.7812135355892649,0.7080909571655208,0.7015507511971221,1199,729,375,1339
and,n_conf_ge_60,10,n_t21_ge_325,13.0,0.6432999523128279,0.7870478413068844,0.7079506691157177,0.6995405181638157,1180,748,365,1349
and,n_conf_ge_60,1,n_t21_ge_325,9.0,0.6183006535947713,0.8278879813302217,0.7079072087802445,0.6867655674285963,1052,876,295,1419
and,n_conf_ge_60,2,n_t21_ge_325,9.0,0.6183006535947713,0.8278879813302217,0.7079072087802445,0.6867655674285963,1052,876,295,1419
and,n_conf_ge_60,7,n_t21_ge_325,11.0,0.6299499317250796,0.8074679113185531,0.7077473791869087,0.692893706696621,1115,813,330,1384
and,n_conf_ge_60,8,n_t21_ge_325,12.0,0.6397925506836398,0.7917152858809802,0.7076923076923077,0.6977248628575026,1164,764,357,1357
and,n_conf_ge_60,9,n_t21_ge_325,12.0,0.6397925506836398,0.7917152858809802,0.7076923076923077,0.6977248628575026,1164,764,357,1357
and,n_conf_ge_60,8,n_t21_ge_325,15.0,0.6549155908639523,0.7695449241540256,0.7076180257510729,0.7045338728653945,1233,695,395,1319
and,n_conf_ge_60,9,n_t21_ge_325,15.0,0.6549155908639523,0.7695449241540256,0.7076180257510729,0.7045338728653945,1233,695,395,1319
and,n_conf_ge_60,7,n_t21_ge_325,15.0,0.6544372830937035,0.7701283547257877,0.7075850978290003,0.7043069159521054,1231,697,394,1320
and,n_conf_ge_60,3,n_t21_ge_325,9.0,0.6181342632955537,0.8273045507584598,0.7075848303393214,0.6864738521427154,1052,876,296,1418
and,n_conf_ge_60,4,n_t21_ge_325,11.0,0.629663330300273,0.8074679113185531,0.7075664621676891,0.6926343705970359,1114,814,330,1384
and,n_conf_ge_60,5,n_t21_ge_325,11.0,0.629663330300273,0.8074679113185531,0.7075664621676891,0.6926343705970359,1114,814,330,1384
and,n_conf_ge_60,6,n_t21_ge_325,11.0,0.629663330300273,0.8074679113185531,0.7075664621676891,0.6926343705970359,1114,814,330,1384
and,n_conf_ge_60,8,n_t21_ge_325,16.0,0.660759493670886,0.7613768961493582,0.7075088099756032,0.7069332613526874,1258,670,409,1305
and,n_conf_ge_60,9,n_t21_ge_325,16.0,0.660759493670886,0.7613768961493582,0.7075088099756032,0.7069332613526874,1258,670,409,1305
and,n_conf_ge_60,1,n_t21_ge_325,10.0,0.6205985915492958,0.822637106184364,0.7074761665830407,0.6877708352498584,1066,862,304,1410
and,n_conf_ge_60,2,n_t21_ge_325,10.0,0.6205985915492958,0.822637106184364,0.7074761665830407,0.6877708352498584,1066,862,304,1410
and,n_conf_ge_60,3,n_t21_ge_325,10.0,0.6205985915492958,0.822637106184364,0.7074761665830407,0.6877708352498584,1066,862,304,1410
and,n_conf_ge_60,7,n_t21_ge_325,16.0,0.660262891809909,0.7619603267211202,0.7074756229685807,0.7067063044393983,1256,672,408,1306
and,n_conf_ge_60,1,n_t21_ge_325,15.0,0.6541129831516352,0.7701283547257877,0.707395498392283,0.7040475798525203,1230,698,394,1320
and,n_conf_ge_60,2,n_t21_ge_325,15.0,0.6541129831516352,0.7701283547257877,0.707395498392283,0.7040475798525203,1230,698,394,1320
and,n_conf_ge_60,3,n_t21_ge_325,15.0,0.6541129831516352,0.7701283547257877,0.707395498392283,0.7040475798525203,1230,698,394,1320
and,n_conf_ge_60,4,n_t21_ge_325,15.0,0.6541129831516352,0.7701283547257877,0.707395498392283,0.7040475798525203,1230,698,394,1320
