experiment_id,stage,bucket,test_pr_auc,test_roc_auc,val_pr_auc
A_default,A,fire_season,0.030158033566519037,0.7579884551996745,0.05443971539529747
B_default,B,fire_season,0.043349346780392255,0.7697953108117557,0.06963277318922825
C_default,C,fire_season,0.07016741138279757,0.7838287450154496,0.08942503267307196
lgbm_lr_03,C,fire_season,0.07569794328422566,0.7924975558954179,0.1020561446540063
lgbm_lr_10,C,fire_season,0.0463707970346668,0.7636403645491335,0.07096990277004882
lgbm_leaves_31,C,fire_season,0.07956367671361933,0.784619143813453,0.09652319423359905
lgbm_leaves_127,C,fire_season,0.06787014876042985,0.7779575535371099,0.09071025424735442
lgbm_minleaf_20,C,fire_season,0.06757542296494129,0.7853329211200009,0.09528662608845047
lgbm_ff_07,C,fire_season,0.0715483262770539,0.7847101083656453,0.09248014677171712
lgbm_bf_07,C,fire_season,0.0767357447403749,0.7862281818586767,0.09546718275426001
lgbm_l2_1,C,fire_season,0.0710065956029021,0.7846971345617977,0.09434886946772478
lgbm_l2_5,C,fire_season,0.0734709071898479,0.7811027176464548,0.09531628769609327
lgbm_no_spw,C,fire_season,0.0691396863935535,0.7804387456368875,0.10048368123270536
C_jan,C,jan,0.024580225466001505,0.7171867287874483,0.010741409750734135
C_feb,C,feb,0.013882472156505992,0.7315249358904313,0.02005422351060834
C_mar,C,mar,0.027895415689739734,0.7591964100937643,0.06262196209555296
C_dec,C,dec,0.008302137974308085,0.63830161538172,0.02223471580147878
lgbm_era5_lag0,C,fire_season_lag0,0.07971574900577713,0.7942903948685016,0.10211270559897846
