cell_id,firms_n_pixels_sum,fire_region_category
32.75_-114.75,13,Medium
32.75_-115.00,2,Low
32.75_-115.25,16,Medium
32.75_-115.50,57,High
32.75_-115.75,61,High
32.75_-116.00,2,Low
32.75_-116.25,6,Low
32.75_-116.50,34,Medium
32.75_-116.75,15,Medium
32.75_-117.00,11,Medium
32.75_-117.25,3,Low
33.00_-114.50,4,Low
33.00_-114.75,3,Low
33.00_-115.25,16,Medium
33.00_-115.50,40,Medium
33.00_-115.75,13,Medium
33.00_-116.50,14,Medium
33.00_-116.75,13,Medium
33.00_-117.00,6,Low
33.25_-114.75,8,Low
33.25_-115.25,17,Medium
33.25_-115.50,53,High
33.25_-116.25,1,Low
33.25_-116.50,1,Low
33.25_-116.75,9,Medium
33.25_-117.00,14,Medium
33.25_-117.25,20,Medium
33.50_-114.75,22,Medium
33.50_-115.00,1,Low
33.50_-115.50,1,Low
33.50_-115.75,3,Low
33.50_-116.00,76,High
33.50_-116.25,51,High
33.50_-116.50,20,Medium
33.50_-116.75,39,Medium
33.50_-117.00,5,Low
33.50_-117.25,24,Medium
33.50_-117.50,46,Medium
33.75_-114.75,16,Medium
33.75_-115.25,21,Medium
33.75_-115.50,23,Medium
33.75_-116.00,19,Medium
33.75_-116.25,14,Medium
33.75_-116.50,4,Low
33.75_-116.75,12,Medium
33.75_-117.00,23,Medium
33.75_-117.25,27,Medium
33.75_-117.50,28,Medium
33.75_-117.75,10,Medium
33.75_-118.00,6,Low
33.75_-118.25,5,Low
34.00_-114.50,8,Low
34.00_-116.25,3,Low
34.00_-116.50,6,Low
34.00_-116.75,23,Medium
34.00_-117.00,53,High
34.00_-117.25,69,High
34.00_-117.50,101,High
34.00_-117.75,16,Medium
34.00_-118.00,13,Medium
34.00_-118.25,6,Low
34.00_-119.50,5,Low
34.00_-119.75,2,Low
34.00_-120.25,1,Low
34.25_-114.25,3,Low
34.25_-116.25,1,Low
34.25_-116.50,1,Low
34.25_-116.75,17,Medium
34.25_-117.00,45,Medium
34.25_-117.25,24,Medium
34.25_-117.50,37,Medium
34.25_-117.75,57,High
34.25_-118.00,56,High
34.25_-118.25,11,Medium
34.25_-118.50,15,Medium
34.25_-118.75,14,Medium
34.25_-119.00,57,High
34.25_-119.25,23,Medium
34.50_-114.50,2,Low
34.50_-115.25,1,Low
34.50_-115.50,2,Low
34.50_-117.00,7,Low
34.50_-117.25,23,Medium
34.50_-117.50,24,Medium
34.50_-117.75,27,Medium
34.50_-118.00,19,Medium
34.50_-118.25,12,Medium
34.50_-118.50,17,Medium
34.50_-118.75,18,Medium
34.50_-119.00,17,Medium
34.50_-119.25,4,Low
34.50_-119.50,3,Low
34.50_-119.75,7,Low
34.50_-120.00,17,Medium
34.50_-120.25,16,Medium
34.75_-114.75,4,Low
34.75_-116.75,1,Low
34.75_-117.00,1,Low
34.75_-117.25,4,Low
34.75_-117.50,1,Low
34.75_-117.75,1,Low
34.75_-118.00,15,Medium
34.75_-118.25,43,Medium
34.75_-118.50,34,Medium
34.75_-118.75,26,Medium
34.75_-119.00,8,Low
34.75_-119.25,6,Low
34.75_-119.50,11,Medium
34.75_-120.00,30,Medium
34.75_-120.25,40,Medium
34.75_-120.50,17,Medium
35.00_-114.75,14,Medium
35.00_-117.25,6,Low
35.00_-117.50,2,Low
35.00_-117.75,1,Low
35.00_-118.00,2,Low
35.00_-118.25,20,Medium
35.00_-118.50,15,Medium
35.00_-118.75,45,Medium
35.00_-119.00,46,Medium
35.00_-119.25,15,Medium
35.00_-119.50,4,Low
35.00_-119.75,7,Low
35.00_-120.00,13,Medium
